hsa-let-7a-1,Cytarabine,6253
hsa-mir-10a,Cytarabine,6253
hsa-mir-10b,Cytarabine,6253
hsa-mir-126,Cytarabine,6253
hsa-mir-181b-1,Cytarabine,6253
hsa-mir-10a,Doxorubicin (Adriamycin),31703
hsa-mir-181b-1,Doxorubicin (Adriamycin),31703
hsa-mir-29b-1,Decitabine,451668
hsa-mir-148a,Cisplatin,2767
hsa-mir-181a-2,Cisplatin,2767
hsa-mir-181b-1,Cisplatin,2767
hsa-mir-148a,5-Fluorouracil,3385
hsa-mir-21,Gemcitabine,60750
hsa-mir-150,Crizotinib,11626560
hsa-mir-30d,Cisplatin,2767
hsa-mir-101-1,Cisplatin,2767
hsa-mir-150,Cisplatin,2767
hsa-mir-193a,Cisplatin,2767
hsa-mir-27a,Cisplatin,2767
hsa-mir-34a,Cisplatin,2767
hsa-mir-634,Cisplatin,2767
hsa-mir-27a,5-Fluorouracil,3385
hsa-mir-193a,Doxorubicin (Adriamycin),31703
hsa-mir-21,Doxorubicin (Adriamycin),31703
hsa-mir-27a,Doxorubicin (Adriamycin),31703
hsa-mir-193a,Paclitaxel,36314
hsa-mir-27a,Paclitaxel,36314
hsa-mir-193a,Epirubicin HCl,65348
hsa-mir-193a,Pirarubicin,636397
hsa-mir-127,Cisplatin,2767
hsa-mir-142,Cisplatin,2767
hsa-mir-218-1,Cisplatin,2767
hsa-mir-24-1,Cisplatin,2767
hsa-mir-296,Cisplatin,2767
hsa-mir-492,Cisplatin,2767
hsa-mir-576,Cisplatin,2767
hsa-mir-625,Cisplatin,2767
hsa-mir-639,Cisplatin,2767
hsa-mir-642a,Cisplatin,2767
hsa-mir-944,Cisplatin,2767
hsa-let-7i,Gemcitabine,60750
hsa-mir-100,Gemcitabine,60750
hsa-mir-106a,Gemcitabine,60750
hsa-mir-1246,Gemcitabine,60750
hsa-mir-125a,Gemcitabine,60750
hsa-mir-125b-1,Gemcitabine,60750
hsa-mir-1275,Gemcitabine,60750
hsa-mir-1290,Gemcitabine,60750
hsa-mir-129-1,Gemcitabine,60750
hsa-mir-130a,Gemcitabine,60750
hsa-mir-130b,Gemcitabine,60750
hsa-mir-138-1,Gemcitabine,60750
hsa-mir-151a,Gemcitabine,60750
hsa-mir-15a,Gemcitabine,60750
hsa-mir-16-1,Gemcitabine,60750
hsa-mir-17,Gemcitabine,60750
hsa-mir-18a,Gemcitabine,60750
